date,n_open,n_new,n_closed
2006-05-04,1489,62,61
2006-05-05,1490,93,90
2006-05-06,1493,71,51
2006-05-07,1513,37,32
2006-05-08,1518,57,23
2006-05-09,1552,56,30
2006-05-10,1578,55,65
2006-05-11,1568,42,74
2006-05-12,1536,75,77
2006-05-13,1534,52,29
2006-05-14,1557,41,114
2006-05-15,1484,53,69
2006-05-16,1468,51,29
2006-05-17,1490,60,43
2006-05-18,1507,59,70
2006-05-19,1496,83,57
2006-05-20,1522,69,62
2006-05-21,1529,39,31
2006-05-22,1537,54,122
2006-05-23,1469,67,97
2006-05-24,1439,63,39
2006-05-25,1463,52,27
2006-05-26,1488,89,50
2006-05-27,1527,57,55
2006-05-28,1529,56,68
2006-05-29,1517,46,85
2006-05-30,1478,57,47
2006-05-31,1488,63,58
2006-06-01,1493,70,40
2006-06-02,1523,100,42
2006-06-03,1581,56,61
2006-06-04,1576,53,35
2006-06-05,1594,67,24
2006-06-06,1637,59,74
2006-06-07,1622,55,58
2006-06-08,1619,53,12
2006-06-09,1660,88,75
2006-06-10,1673,65,34
2006-06-11,1704,46,36
2006-06-12,1714,57,93
2006-06-13,1678,66,59
2006-06-14,1685,68,82
2006-06-15,1671,64,109
2006-06-16,1626,62,48
2006-06-17,1640,75,38
2006-06-18,1677,40,33
2006-06-19,1684,70,58
2006-06-20,1696,58,64
2006-06-21,1690,54,81
2006-06-22,1663,55,79
2006-06-23,1639,51,42
2006-06-24,1648,49,49
2006-06-25,1648,46,55
2006-06-26,1639,55,49
2006-06-27,1645,53,43
2006-06-28,1655,47,112
2006-06-29,1590,55,54
2006-06-30,1591,71,61
2006-07-01,1601,57,56
2006-07-02,1602,50,87
2006-07-03,1565,63,67
2006-07-04,1561,66,66
2006-07-05,1561,64,55
2006-07-06,1570,63,45
2006-07-07,1588,68,78
2006-07-08,1578,61,55
2006-07-09,1584,67,85
2006-07-10,1566,49,44
2006-07-11,1571,53,77
2006-07-12,1547,47,69
2006-07-13,1525,51,64
2006-07-14,1512,62,63
2006-07-15,1511,53,59
2006-07-16,1505,60,66
2006-07-17,1499,55,88
2006-07-18,1466,51,69
2006-07-19,1448,57,108
2006-07-20,1397,37,37
2006-07-21,1397,62,70
2006-07-22,1389,44,46
2006-07-23,1387,52,18
2006-07-24,1421,51,89
2006-07-25,1383,52,67
2006-07-26,1368,52,36
2006-07-27,1384,53,59
2006-07-28,1378,69,33
2006-07-29,1414,45,25
2006-07-30,1434,35,35
2006-07-31,1434,53,39
2006-08-01,1448,51,56
2006-08-02,1443,41,30
2006-08-03,1454,42,50
2006-08-04,1446,65,69
2006-08-05,1442,76,52
2006-08-06,1466,62,21
2006-08-07,1507,52,30
2006-08-08,1529,49,28
2006-08-09,1550,44,81
2006-08-10,1513,43,108
2006-08-11,1448,56,51
2006-08-12,1453,55,67
2006-08-13,1441,49,60
2006-08-14,1430,51,43
2006-08-15,1438,56,55
2006-08-16,1439,39,37
2006-08-17,1441,41,56
2006-08-18,1426,51,93
2006-08-19,1384,49,66
2006-08-20,1367,37,66
2006-08-21,1338,58,52
2006-08-22,1344,48,80
2006-08-23,1312,40,70
2006-08-24,1282,41,46
2006-08-25,1277,56,43
2006-08-26,1290,42,36
2006-08-27,1296,40,21
2006-08-28,1315,51,57
2006-08-29,1309,42,47
2006-08-30,1304,39,58
2006-08-31,1285,48,45
2006-09-01,1288,58,33
2006-09-02,1313,54,20
2006-09-03,1347,28,26
2006-09-04,1349,39,59
2006-09-05,1329,59,38
2006-09-06,1350,36,115
2006-09-07,1271,43,22
2006-09-08,1292,76,89
2006-09-09,1279,51,34
2006-09-10,1296,33,19
2006-09-11,1310,40,36
2006-09-12,1314,44,94
2006-09-13,1264,45,36
2006-09-14,1273,51,50
2006-09-15,1274,86,16
2006-09-16,1344,59,23
2006-09-17,1380,45,97
2006-09-18,1328,49,48
2006-09-19,1329,52,41
2006-09-20,1340,55,50
2006-09-21,1345,43,51
2006-09-22,1337,77,115
2006-09-23,1299,57,32
2006-09-24,1324,39,25
2006-09-25,1338,45,45
2006-09-26,1338,57,73
2006-09-27,1322,47,19
2006-09-28,1350,64,40
2006-09-29,1374,82,44
2006-09-30,1412,57,44
2006-10-01,1425,55,42
2006-10-02,1438,63,63
2006-10-03,1438,65,65
2006-10-04,1438,44,80
2006-10-05,1402,64,39
2006-10-06,1427,95,57
2006-10-07,1465,61,56
2006-10-08,1470,55,42
2006-10-09,1483,41,47
2006-10-10,1477,44,58
2006-10-11,1463,42,73
2006-10-12,1432,48,49
2006-10-13,1431,88,38
2006-10-14,1481,67,122
2006-10-15,1426,53,43
2006-10-16,1436,58,63
2006-10-17,1431,43,60
2006-10-18,1414,40,24
2006-10-19,1430,63,43
2006-10-20,1450,89,55
2006-10-21,1484,66,37
2006-10-22,1513,44,37
2006-10-23,1520,53,32
2006-10-24,1541,57,102
2006-10-25,1496,51,52
